Codigo,Municipio,UF,MUN_UF,Long,Lat,Area_soja_2019,Area_soja_2020,Area_soja_2021,Area_soja_2022,Area_soja_2023,Media_area_soja,Area_milho_2019,Area_milho_2020,Area_milho_2021,Area_milho_2022,Area_milho_2023,Media_area_milho
5218805,Rio Verde,GO,Rio Verde_GO,-50.9192,-17.7923,340000,390000,410000,420000,421500,396300,285000,320000,340000,357000,357500,331900
5211909,Jataí,GO,Jataí_GO,-51.7204,-17.8784,287000,285000,290000,300000,320000,296400,212000,210000,215000,220000,275000,226400
5206206,Cristalina,GO,Cristalina_GO,-47.6131,-16.7676,220000,260000,265000,275000,360000,276000,70000,75000,75000,75313,90000,77062.6
5213756,Montividiu,GO,Montividiu_GO,-51.1728,-17.4439,135000,138000,142000,142000,142500,139900,120000,115000,116000,120000,136000,121400
5216403,Paraúna,GO,Paraúna_GO,-50.4484,-16.9463,106000,115000,120000,142000,142500,125100,50000,55000,56000,56000,57000,54800
5205109,Catalão,GO,Catalão_GO,-47.944,-18.1656,109000,113000,115000,118000,121000,115200,10000,12000,12000,15000,13000,12400
5213103,Mineiros,GO,Mineiros_GO,-52.5537,-17.5654,101000,100000,100000,102000,130000,106600,72000,85000,90000,85000,100000,86400
5210109,Ipameri,GO,Ipameri_GO,-48.1581,-17.7215,95000,98000,100500,101000,104000,99700,11000,10400,15000,20000,30000,17280
5205471,Chapadão do Céu,GO,Chapadão do Céu_GO,-52.549,-18.4073,91400,90000,92000,93000,90000,91280,66500,65000,68000,65000,60000,64900
5220603,Silvânia,GO,Silvânia_GO,-48.6083,-16.66,67000,72000,85000,85000,93500,80500,35000,35000,35000,35000,25000,33000
5209101,Goiatuba,GO,Goiatuba_GO,-49.3658,-18.0105,76500,75800,76000,78200,78000,76900,30000,25000,25800,30000,36000,29360
5204805,Campo Alegre de Goiás,GO,Campo Alegre de Goiás_GO,-47.7768,-17.6363,64500,67000,69000,72000,75000,69500,11000,10500,9000,15000,7000,10500
5217104,Piracanjuba,GO,Piracanjuba_GO,-49.017,-17.302,65000,68000,65000,70000,63000,66200,9800,20000,10000,15000,11000,13160
5212501,Luziânia,GO,Luziânia_GO,-47.95,-16.253,56000,60000,65000,67500,67500,63200,8500,10000,12000,11225,30000,14345
5215603,Padre Bernardo,GO,Padre Bernardo_GO,-48.2833,-15.1605,58500,60000,63000,65000,65000,62300,6500,6500,6000,6000,10000,7000
5203500,Bom Jesus de Goiás,GO,Bom Jesus de Goiás_GO,-49.74,-18.2173,57200,57000,61500,63500,63000,60440,35000,33000,30150,44180,44300,37326
5214606,Niquelândia,GO,Niquelândia_GO,-48.4599,-14.4662,50000,55000,56000,57000,68000,57200,6300,6100,7200,10130,10500,8046
5219308,Santa Helena de Goiás,GO,Santa Helena de Goiás_GO,-50.5977,-17.8115,48000,51000,60000,60000,60000,55800,35000,35500,50000,50000,49500,44000
5204409,Caiapônia,GO,Caiapônia_GO,-51.8091,-16.9539,35300,35000,38000,60000,100000,53660,30500,30000,32000,30000,50000,34500
5200134,Acreúna,GO,Acreúna_GO,-50.3749,-17.396,46000,48000,51000,51000,52300,49660,16000,17000,30100,30100,30500,24740
5220009,São João d'Aliança,GO,São João d'Aliança_GO,-47.5228,-14.7048,40000,40000,42000,42000,42488,41297.6,12000,12000,15000,15000,15129,13825.8
5200175,Água Fria de Goiás,GO,Água Fria de Goiás_GO,-47.7823,-14.9778,38000,40000,40000,42000,44308,40861.6,18500,20500,20000,20000,19850,19770
5222005,Vianópolis,GO,Vianópolis_GO,-48.5159,-16.7405,40000,41000,41000,40000,40120,40424,6000,5000,14500,6000,6080,7516
5215702,Palmeiras de Goiás,GO,Palmeiras de Goiás_GO,-49.924,-16.8044,35000,39000,45000,42000,41000,40400,20000,9250,9800,9150,13000,12240
5216452,Perolândia,GO,Perolândia_GO,-52.065,-17.5258,35000,32000,35000,37000,60000,39800,32000,30000,32000,30000,40000,32800
5215306,Orizona,GO,Orizona_GO,-48.2964,-17.0334,33000,33000,40870,40900,41070,37768,8000,4000,13000,12000,12120,9824
5211503,Itumbiara,GO,Itumbiara_GO,-49.2158,-18.4093,33600,32000,34500,35200,48400,36740,10100,11100,12200,15150,19500,13610
5220504,Serranópolis,GO,Serranópolis_GO,-51.9586,-18.3067,28500,28000,33000,35000,40000,32900,21000,20000,22000,20000,20000,20600
5204508,Caldas Novas,GO,Caldas Novas_GO,-48.6246,-17.7441,33000,33000,33000,30000,28000,31400,8500,8000,8500,8500,8200,8340
5218508,Quirinópolis,GO,Quirinópolis_GO,-50.4547,-18.4472,25000,28000,31000,33000,40000,31400,10000,8000,8000,8000,9500,8700
5107925,Sorriso,MT,Sorriso_MT,-55.7211,-12.5425,605000,590000,605000,598500,598500,599400,468622,466510,544000,535000,535000,509826.4
5106224,Nova Mutum,MT,Nova Mutum_MT,-56.0743,-13.8374,402000,395000,398000,397000,410000,400400,260000,290000,286000,300000,320000,291200
5106240,Nova Ubiratã,MT,Nova Ubiratã_MT,-55.2556,-12.9834,366482,396000,382677,390000,406000,388231.8,274861,315000,302650,331000,340000,312702.2
5102637,Campo Novo do Parecis,MT,Campo Novo do Parecis_MT,-57.8907,-13.6587,380000,389000,371711,387800,407800,387262.2,233000,220000,228095,265000,160393,221297.6
5103502,Diamantino,MT,Diamantino_MT,-56.4366,-14.4037,345000,345600,384605,389940,461591,385347.2,209000,220000,263351,271314,257811,244295.2
